price,listing-location,bed,bath,carport,surface_area,building_area
1790000000.0,39,3.0,3.0,2.0,120.0,110.0
170000000.0,22,3.0,2.0,1.0,102.0,126.0
695000000.0,4,2.0,2.0,1.0,100.0,100.0
560000000.0,50,3.0,1.0,1.0,109.0,67.0
200000000.0,37,2.0,1.0,1.0,60.0,30.0
560000000.0,50,3.0,1.0,1.0,109.0,67.0
875000000.0,39,3.0,2.0,1.0,145.0,85.0
570000000.0,39,2.0,1.0,1.0,83.0,50.0
300000000.0,54,2.0,1.0,1.0,60.0,30.0
750000000.0,40,4.0,2.0,1.0,140.0,90.0
745000000.0,46,3.0,1.0,3.0,209.0,180.0
1700000000.0,12,4.0,3.0,2.0,169.0,125.0
455000000.0,65,2.0,1.0,1.0,61.0,45.0
1100000000.0,39,4.0,3.0,2.0,171.0,150.0
850000000.0,15,3.0,2.0,1.0,135.0,80.0
1300000000.0,65,3.0,2.0,1.0,134.0,200.0
1850000000.0,39,4.0,3.0,2.0,135.0,165.0
1400000000.0,12,3.0,2.0,2.0,205.0,150.0
765000000.0,13,3.0,2.0,2.0,109.0,80.0
2200000000.0,9,3.0,3.0,1.0,139.0,125.0
1950000000.0,12,3.0,3.0,1.0,128.0,188.0
1080000000.0,39,3.0,2.0,2.0,147.0,85.0
969000000.0,39,3.0,3.0,2.0,102.0,100.0
2100000000.0,12,3.0,3.0,1.0,139.0,100.0
2100000000.0,12,3.0,3.0,1.0,139.0,100.0
500000000.0,9,3.0,1.0,1.0,72.0,90.0
1300000000.0,39,3.0,2.0,2.0,156.0,85.0
900000000.0,27,3.0,2.0,2.0,111.0,70.0
2480000000.0,60,4.0,3.0,1.0,192.0,135.0
2450000000.0,13,4.0,3.0,1.0,187.0,135.0
2650000000.0,60,4.0,3.0,1.0,213.0,135.0
2430000000.0,60,4.0,3.0,1.0,192.0,135.0
2490000000.0,60,4.0,3.0,1.0,200.0,135.0
1200000000.0,36,3.0,2.0,2.0,100.0,88.0
900000000.0,23,4.0,2.0,1.0,120.0,84.0
2350000000.0,12,4.0,3.0,1.0,120.0,185.0
1450000000.0,9,3.0,3.0,1.0,150.0,95.0
450000000.0,48,2.0,1.0,2.0,97.0,45.0
845000000.0,65,2.0,2.0,2.0,60.0,65.0
1800000000.0,36,3.0,2.0,2.0,134.0,90.0
299000000.0,13,2.0,1.0,1.0,60.0,30.0
1380000000.0,4,3.0,2.0,1.0,107.0,100.0
750000000.0,12,2.0,1.0,2.0,166.0,36.0
1650000000.0,32,3.0,3.0,1.0,200.0,135.0
900000000.0,23,3.0,2.0,1.0,140.0,80.0
499000000.0,36,2.0,1.0,1.0,120.0,36.0
1600000000.0,39,4.0,3.0,2.0,118.0,140.0
1450000000.0,40,3.0,2.0,1.0,100.0,85.0
1500000000.0,65,4.0,3.0,2.0,204.0,100.0
1850000000.0,40,3.0,2.0,2.0,116.0,115.0
1670000000.0,12,4.0,2.0,2.0,162.0,120.0
2360000000.0,60,4.0,3.0,1.0,182.0,135.0
2460000000.0,60,4.0,3.0,1.0,196.0,135.0
2430000000.0,13,4.0,3.0,1.0,192.0,135.0
2400000000.0,60,4.0,3.0,1.0,187.0,136.0
1590000000.0,39,3.0,3.0,1.0,90.0,115.0
576000000.0,40,3.0,2.0,1.0,144.0,80.0
2540000000.0,60,4.0,3.0,1.0,200.0,135.0
300000000.0,27,1.0,1.0,1.0,52.0,95.0
995000000.0,12,3.0,2.0,1.0,109.0,75.0
410000000.0,23,2.0,1.0,1.0,112.0,60.0
245000000.0,50,2.0,1.0,1.0,75.0,36.0
1790000000.0,51,4.0,3.0,1.0,113.0,175.0
399000000.0,35,2.0,1.0,1.0,100.0,45.0
550000000.0,36,3.0,2.0,1.0,101.0,55.0
2400000000.0,16,3.0,2.0,1.0,121.0,140.0
410000000.0,2,2.0,1.0,1.0,80.0,42.0
2900000000.0,39,3.0,3.0,2.0,140.0,115.0
650000000.0,28,4.0,2.0,1.0,90.0,150.0
775000000.0,61,2.0,1.0,1.0,132.0,90.0
999000000.0,40,3.0,3.0,1.0,103.0,100.0
695000000.0,49,2.0,2.0,1.0,100.0,65.0
675000000.0,2,2.0,1.0,1.0,85.0,45.0
725000000.0,7,3.0,2.0,2.0,114.0,71.0
815000000.0,65,2.0,2.0,1.0,75.0,50.0
455000000.0,54,2.0,1.0,1.0,83.0,45.0
1300000000.0,36,3.0,1.0,2.0,126.0,80.0
690000000.0,2,3.0,2.0,2.0,76.0,60.0
2430000000.0,60,4.0,3.0,1.0,192.0,135.0
575000000.0,23,3.0,2.0,1.0,98.0,115.0
1850000000.0,12,3.0,2.0,1.0,126.0,115.0
580000000.0,61,3.0,2.0,1.0,90.0,65.0
750000000.0,12,2.0,1.0,1.0,166.0,36.0
799000000.0,36,3.0,2.0,1.0,111.0,60.0
799000000.0,65,3.0,2.0,2.0,75.0,50.0
800000000.0,3,3.0,2.0,1.0,101.0,60.0
392000000.0,53,2.0,1.0,1.0,80.0,36.0
1450000000.0,10,3.0,3.0,1.0,110.0,129.0
235000000.0,12,2.0,1.0,1.0,73.0,30.0
1880000000.0,36,3.0,3.0,1.0,121.0,80.0
2660000000.0,36,3.0,3.0,2.0,153.0,160.0
320000000.0,39,2.0,1.0,1.0,94.0,36.0
1650000000.0,39,4.0,3.0,2.0,125.0,140.0
1990000000.0,61,3.0,3.0,1.0,172.0,100.0
1800000000.0,39,3.0,3.0,2.0,95.0,150.0
550000000.0,23,3.0,1.0,1.0,116.0,60.0
1100000000.0,39,3.0,2.0,1.0,138.0,100.0
750000000.0,60,3.0,2.0,2.0,130.0,60.0
237000000.0,23,2.0,1.0,1.0,60.0,28.0
750000000.0,60,3.0,2.0,2.0,130.0,60.0
1650000000.0,39,4.0,3.0,2.0,125.0,140.0
1520000000.0,39,4.0,2.0,1.0,99.0,150.0
350000000.0,15,2.0,1.0,1.0,104.0,50.0
850000000.0,39,3.0,2.0,1.0,114.0,110.0
2950000000.0,67,4.0,3.0,1.0,213.0,185.0
895000000.0,28,3.0,2.0,2.0,91.0,76.0
1200000000.0,65,3.0,2.0,1.0,115.0,100.0
1270000000.0,12,3.0,2.0,1.0,130.0,100.0
675000000.0,1,2.0,1.0,1.0,85.0,45.0
817000000.0,13,2.0,2.0,1.0,103.0,76.0
817000000.0,13,2.0,2.0,1.0,103.0,76.0
470000000.0,16,3.0,3.0,1.0,147.0,70.0
765000000.0,65,2.0,1.0,1.0,101.0,60.0
675000000.0,23,2.0,1.0,1.0,84.0,50.0
725000000.0,32,3.0,2.0,1.0,100.0,70.0
800000000.0,40,3.0,2.0,1.0,120.0,80.0
884000000.0,32,4.0,2.0,2.0,104.0,60.0
1250000000.0,39,2.0,2.0,2.0,125.0,150.0
500000000.0,40,2.0,2.0,1.0,80.0,55.0
500000000.0,23,3.0,2.0,1.0,108.0,70.0
690000000.0,57,2.0,1.0,1.0,87.0,45.0
875000000.0,32,3.0,2.0,2.0,112.0,95.0
756000000.0,39,3.0,1.0,2.0,104.0,60.0
850000000.0,27,3.0,2.0,2.0,80.0,85.0
1290000000.0,1,4.0,3.0,1.0,99.0,105.0
1780000000.0,12,4.0,3.0,2.0,118.0,160.0
1250000000.0,36,3.0,3.0,1.0,105.0,160.0
575000000.0,23,2.0,1.0,1.0,108.0,80.0
775000000.0,13,2.0,2.0,1.0,118.0,100.0
575000000.0,23,3.0,2.0,1.0,101.0,80.0
785000000.0,40,3.0,2.0,1.0,115.0,60.0
1850000000.0,62,4.0,3.0,1.0,147.0,120.0
900000000.0,1,3.0,3.0,1.0,98.0,100.0
750000000.0,60,3.0,2.0,2.0,130.0,60.0
1500000000.0,23,2.0,1.0,1.0,120.0,90.0
275000000.0,2,2.0,1.0,1.0,70.0,36.0
305000000.0,68,2.0,1.0,1.0,66.0,45.0
310000000.0,68,2.0,1.0,1.0,72.0,45.0
310000000.0,68,2.0,1.0,1.0,72.0,45.0
315000000.0,68,2.0,1.0,1.0,45.0,75.0
312000000.0,68,2.0,1.0,1.0,45.0,72.0
375000000.0,54,2.0,1.0,1.0,82.0,46.0
2100000000.0,12,3.0,3.0,1.0,139.0,100.0
2000000000.0,65,4.0,2.0,2.0,105.0,140.0
645000000.0,1,3.0,1.0,2.0,93.0,60.0
1280000000.0,39,3.0,3.0,2.0,134.0,85.0
270000000.0,50,2.0,1.0,1.0,61.0,30.0
1780000000.0,13,3.0,3.0,2.0,119.0,114.0
